#Select Statistics Per TCE From the Data Validation XML Files                   
#Mission = TESS                                                                 
#Search = tess2020135030118                                                     
#Sectors = s0025-s0025                                                          
#Created Date = 2021-03-17                                                      
#                                                                               
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00007694175-01,7694175,1,s0025,2021-03-18,12.5929,,1994.23,,2458994.23,,3.1183700000000002E-2,,50.762999999999998,,89.320300000000003,,0.602217,,1.58653,,7.4072299999999994E-2,,1033.46,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40952709999999998,0.64016779999999995,-0.71260639999999997,0.25098310000000001,2,mandel-agol_geometric_transit_model,true,5.8021760000000002,494.96940000000001,469.75459999999998,7.3364700000000003,6.2849640000000004,2.0566599999999999,87,53.12717,5.61538,,0.12164999999999999,,1125.6900000000001,,379.48700000000002,,2,00000000000000000000000001,6928.0,102.545,4.1829200000000002,8.2778400000000002E-2,0.0,0.0,1.6494899999999999,5.9547700000000002E-2,0.33695360000000002,0.06536662,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,12.595828056335399,-1.0,1994.2263431532899,-1.0,2458994.2263431535,-1.0,1.81237318853902,-1.0,0.45272200738364798,-1.0,1545.0670547106199,-1.0,true,21487,698,7.0609630000000001,1604.4400000000001,0.0170069,0.61302069999999997,7.9840099999999996,-15.018359999999999,-0.90835999999999995,0.181922,7.9937329999999998,8.5478100000000001,0.2367793,92.766170000000002,0.0,414.25020000000001,274.22129999999999,7851.9059999999999,1279.6579999999999,1.5069950000000001,5.2536899999999997,1.33083233697415E-12,6.834155,-0.13469059999999999,1.2413289999999999,2,2.0476939999999999,4.1822710000000001,-2.7921479999999999E-3,2.5235080000000001,1.1249910000000001,2.5429029999999999,1.124995,2.5429029999999999,-0.93853620000000004,2.5235069999999999,2.0106459999999999,2.5429010000000001,2.2189070000000002,2.5394420000000002
00007694175-02,7694175,2,s0025,2021-03-18,11.821400000000001,,1994.1099999999999,,2458994.1099999999,,3.2649900000000003E-2,,85.876199999999997,,89.984200000000001,,2.3691899999999998E-2,,1.08569,,3.4347099999999998E-2,,1204.1300000000001,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40952709999999998,0.64016779999999995,-0.71260639999999997,0.25098310000000001,2,mandel-agol_geometric_transit_model,true,7.2242199999999999,227.81960000000001,264.66129999999998,8.4210100000000008,7.1874029999999998,5.1900000000000002E-3,56,46.415050000000001,5.8794199999999996,,0.116629,,1149.6600000000001,,412.863,,2,00000000000000000000000001,6928.0,102.545,4.1829200000000002,8.2778400000000002E-2,0.0,0.0,1.6494899999999999,5.9547700000000002E-2,0.33695360000000002,0.06536662,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,11.8208279553035,-1.0,1994.1102376531801,-1.0,2458994.1102376534,-1.0,1.0231774093621699,-1.0,0.42649547969625901,-1.0,9062.1089774325792,-1.0,true,32849,355,2.8605480000000001,677.93050000000005,-0.00341371,0.59261969999999997,7.6649000000000003,-12.926259999999999,1.08887,1.03609,14.292899999999999,10.19699,5.7781049999999997E-7,0.0,92.766170000000002,146.7593,304.25740000000002,6186.7579999999998,3201.7489999999998,0.47906559999999998,1.5731040000000001,3.5781530651944102E-12,7.7275939999999999,-2.5631010000000001,1.8615649999999999,2,3.0663939999999998,-0.88907579999999997,2.49031,2.5183559999999998,0.83903870000000003,2.5329329999999999,2.627856,2.5198459999999998,1.574193,2.5183409999999999,1.716737,2.5329299999999999,2.329221,2.5262769999999999
00007720507-01,7720507,1,s0025,2021-03-18,1.57735,,1984.53,,2458984.5299999998,,0.39179199999999997,,3.9410099999999999,,80.129900000000006,,0.67554999999999998,,3.8412799999999998,,1.9206399999999999,,146517.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.42251680000000003,0.54786469999999998,-0.529752,0.16715189999999999,15,mandel-agol_geometric_transit_model,true,1009.176,6022.3819999999996,7413.8329999999996,191.72739999999999,3003.5349999999999,7518.3699999999999,641,22976.240000000002,81.956500000000005,,2.9157800000000001E-2,,2321.52,,6864.4799999999996,,3,00000000000000000000000001,6490.0,118.41,3.9960900000000001,8.6437399999999998E-2,0.0,0.0,1.9161300000000001,8.1203600000000001E-2,0.1886535,3.8389340000000001E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,1.57695424556732,-1.0,1984.5345239702799,-1.0,2458984.5345239704,-1.0,2.91575812731711,-1.0,1.1416426895051099,-1.0,115226.367743661,-1.0,true,79886,6609,74.824179999999998,16626.25,-0.19726,2.2497129999999999,82.889660000000006,-62.794820000000001,0.78803999999999996,0.868598,111.2248,225.98480000000001,5.2108420000000003E-2,64.218760000000003,3.7383449999999999E-11,1.1577440000000001,0.15856390000000001,3723.1909999999998,70.150670000000005,0.99483169999999999,12.33422,0.0,5.7152890000000003,-0.3716119,0.85765840000000004,16,371.53410000000002,167.52449999999999,-8.8209309999999999E-2,2.5000049999999998,4.5932519999999998E-2,2.5000100000000001,9.9451890000000001E-2,2.500006,-1.5060579999999999,2.500003,0.47597610000000001,2.500006,1.579483,2.500003
00007720507-02,7720507,2,s0025,2021-03-18,1.5773600000000001,,1983.74,,2458983.7400000002,,0.20380899999999999,,2.9705699999999999,,73.901899999999998,,0.823689,,3.7675800000000002,,1.8837900000000001,,37885.599999999999,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.42251680000000003,0.54786469999999998,-0.529752,0.16715189999999999,15,mandel-agol_geometric_transit_model,true,231.0264,5898.4089999999997,7529.5029999999997,94.220259999999996,770.51440000000002,515.52530000000002,955,9248.0560000000005,42.633400000000002,,2.9157800000000001E-2,,2321.52,,6864.4700000000003,,3,00000000000000000000000001,6490.0,118.41,3.9960900000000001,8.6437399999999998E-2,0.0,0.0,1.9161300000000001,8.1203600000000001E-2,0.1886535,3.8389340000000001E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,1.57763213703127,-1.0,1983.74296527703,-1.0,2458983.7429652768,-1.0,3.5868458291617502,-1.0,1.29815010108565,-1.0,37158.104902252402,-1.0,true,21574,7802,0.74664649999999999,194.3706,-0.257622,1.3434980000000001,4.00549,-5.5163890000000002,0.53191999999999995,1.11109,37.290930000000003,110.38800000000001,0.14003699999999999,3.7383449999999999E-11,0.0,5.0016730000000002E-2,4.7546369999999998E-2,1697.4259999999999,400.4676,-19.980139999999999,-1.5209589999999999,0.0,7.0632419999999998,-1.3487039999999999,1.1812609999999999,17,101.7034,38.720039999999997,0.80488009999999999,2.5000170000000002,-0.27667330000000001,2.5000290000000001,0.85110520000000001,2.500019,-0.61012659999999996,2.500013,0.1561072,2.5000249999999999,0.62978080000000003,2.500013
00007720507-03,7720507,3,s0025,2021-03-18,0.26292199999999999,,1983.74,,2458983.7400000002,,0.0184712,,2.3582700000000001,,82.586399999999998,,0.30429,,0.860927,,1.8236700000000002E-2,,383.303,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.42251680000000003,0.54786469999999998,-0.529752,0.16715189999999999,56,mandel-agol_geometric_transit_model,true,9.7994280000000007,3080.0450000000001,4258.5770000000002,7.9746259999999998,57.862670000000001,52.231909999999999,1335,1019.25,3.8638599999999999,,0.0,,0.0,,0.0,,3,00000000000000000000000001,6490.0,118.41,3.9960900000000001,8.6437399999999998E-2,0.0,0.0,1.9161300000000001,8.1203600000000001E-2,0.1886535,3.8389340000000001E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,0.262865480877225,-1.0,1983.7453824614599,-1.0,2458983.7453824612,-1.0,1.2837006535683899,-1.0,0.39749165283197602,-1.0,1168.2688042173299,-1.0,true,9220,3126,-1.2468399999999999,-274.82100000000003,-0.225075,0.29444100000000001,0.80881999999999998,-1.355656,6.6640000000000005E-2,0.106922,7.582471,7.6449400000000001,6.0849589999999996,0.0,64.218760000000003,0.0,-1.0,0.0,-1.0,0.0,0.0,4.6937391333457101E-16,6.6853600000000002,-0.71071390000000001,1.039957,98,2.926742,-0.23553289999999999,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
00007854182-01,7854182,1,s0025,2021-03-18,0.86603600000000003,,1983.74,,2458983.7400000002,,4.5702699999999999E-2,,3.4977800000000001,,88.361699999999999,,0.10000000000000001,,2.0,,9.0670500000000001E-2,,417607.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.0,0.0,0.0,0.0,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,78.949020000000004,595.28890000000001,338.2081,1531,18149.919999999998,9.0069300000000005,,2.1225000000000001E-2,,3021.1500000000001,,19688.400000000001,,1,00000000000000000000000001,7424.0,143.238,4.1549399999999999,8.5880300000000007E-2,0.0,0.0,1.8052299999999999,7.2467299999999998E-2,0.28867379999999998,5.8248639999999997E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,0.86603564023971602,-1.0,1983.7430297047699,-1.0,2458983.7430297048,-1.0,3.4342149845603398,-1.0,1.44454783536978,-1.0,378685.26309142797,-1.0,true,154658,7782,48.500869999999999,45162.0,2.1009,18.325230000000001,67.569609999999997,-51.1798,0.43330999999999997,0.501366,24.755099999999999,89.551689999999994,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,22.54637,58.273409999999998,-0.24184939999999999,2.500003,0.31439020000000001,2.500006,0.39665149999999999,2.5000049999999998,-1.301196,2.5000019999999998,0.44302589999999997,2.500003,1.3745480000000001,2.5000019999999998
00008309401-01,8309401,1,s0025,2021-03-18,13.277699999999999,,1987.8199999999999,,2458987.8199999998,,4.2274399999999997E-2,,7.1847599999999998,,89.787199999999999,,2.6682500000000001E-2,,14.7621,,0.60291399999999995,,2042.8099999999999,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.2702,0.85140000000000005,-0.7923,0.25419999999999998,2,mandel-agol_geometric_transit_model,true,8.4152959999999997,3457.5639999999999,3656.3829999999998,7.5047499999999996,6.8223700000000003,0.42009999999999997,874,1060.4300000000001,9.4666899999999998,,0.118904,,1167.4200000000001,,438.96899999999999,,1,00000000000000000000000001,6369.79,146.798,3.91784,9.2080499999999996E-2,-0.51300000000000001,3.4000000000000002E-2,2.05125,0.109899,0.14717060000000001,3.2184400000000002E-2,TIC8,TIC8,TIC8,TIC8,TIC8-Deriv,13.2694387435913,-1.0,1987.8757155494,-1.0,2458987.8757155496,-1.0,13.155400381427601,-1.0,0.95559734303889998,-1.0,2248.6146747435801,-1.0,true,18231,6372,2.1503739999999998,765.93610000000001,-0.0690199,0.50639120000000004,2.3260100000000001,-2.0600049999999999,-1.7778,1.5847,5.9476259999999996,8.0935699999999997,0.73863909999999999,0.0,0.0,66.475930000000005,39.317410000000002,5153.8850000000002,748.06410000000005,1.6653169999999999,5.3170099999999998,1.1789101364878999E-73,3.7232699999999999,1.949138,0.33916039999999997,2,5.9664169999999999,2.7143959999999998,-66.683189999999996,2.6397889999999999,79.191730000000007,2.6995520000000002,103.5277,2.6749200000000002,-63.296430000000001,2.6359110000000001,77.554410000000004,2.6995499999999999,100.1056,2.6742889999999999
00008346476-01,8346476,1,s0025,2021-03-18,0.52890000000000004,,1984.03,,2458984.0299999998,,0.0134766,,2.0903299999999998,,77.485699999999994,,0.45293699999999998,,1.8601399999999999,,3.3274600000000001E-2,,198.93700000000001,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.4093482,0.62891719999999995,-0.69136039999999999,0.24086450000000001,46,mandel-agol_geometric_transit_model,true,8.4124619999999997,10180.889999999999,12358.870000000001,9.6184820000000002,49.505420000000001,35.952469999999998,2657,2658.308,2.1393,,1.4692200000000001E-2,,3038.6100000000001,,20147.400000000001,,2,00000000000000000000000001,6922.0,123.997,4.2918700000000003,8.4268300000000004E-2,0.0,0.0,1.45408,5.8251299999999999E-2,0.4912263,9.7325320000000007E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,0.52892857789993297,-1.0,1984.0265910332,-1.0,2458984.0265910332,-1.0,3.35733360483104,-1.0,1.62022237568841,-1.0,382.02300706929998,-1.0,true,18452,8491,4.8029390000000003,105.9907,-0.83155,3.5185840000000002,4.8092100000000002,-7.1555580000000001,0.17752000000000001,0.290017,3.4185240000000001,7.1876499999999997,9.4178129999999999E-2,3.1469130000000002E-4,0.0,2.7502460000000002,4.2991539999999997,6050.0330000000004,2358.348,0.40711389999999997,1.2754289999999999,1.10637659159903E-8,9.6707450000000001,-1.994278,1.6417949999999999,48,9.2120529999999992,4.0300349999999998,-3.8263120000000002,2.6128629999999999,7.9033790000000003E-3,2.6456729999999999,3.8263199999999999,2.6128629999999999,-3.3018830000000001,2.6128550000000001,-0.73382559999999997,2.6456719999999998,3.3824450000000001,2.6144090000000002
00008346476-02,8346476,2,s0025,2021-03-18,0.52681699999999998,,1983.73,,2458983.73,,0.0137407,,1.2884500000000001,,45.537999999999997,,0.902478,,2.1171000000000002,,0.15835199999999999,,170.93799999999999,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.4093482,0.62891719999999995,-0.69136039999999999,0.24086450000000001,47,mandel-agol_geometric_transit_model,true,8.6585649999999994,8302.4429999999993,8077.3789999999999,9.1427270000000007,50.416930000000001,50.334519999999998,2459,3123.739,2.1812299999999998,,1.4653599999999999E-2,,3042.6100000000001,,20253.700000000001,,2,00000000000000000000000001,6922.0,123.997,4.2918700000000003,8.4268300000000004E-2,0.0,0.0,1.45408,5.8251299999999999E-2,0.4912263,9.7325320000000007E-2,TIC8,TIC8,Solar,TIC8,TIC8-Deriv,0.52688776818705896,-1.0,1983.7209821291301,-1.0,2458983.7209821292,-1.0,3.9394033407449101,-1.0,1.6613429918105,-1.0,258.47035079424103,-1.0,true,10108,6134,2.4792200000000002,198.8931,-0.96805,2.3290440000000001,3.0115699999999999,-4.1572319999999996,0.25830999999999998,0.169422,3.9617149999999999,7.7000400000000004,9.0279100000000001E-2,0.0,3.1469130000000002E-4,4.938345,2.5279410000000002,7012.6400000000003,875.95150000000001,1.5579259999999999,4.4941529999999998,1.1573859240269899E-9,9.5603630000000006,-2.1055679999999999,1.641886,49,2.3416489999999999,4.1577869999999999,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
00008417276-01,8417276,1,s0025,2021-03-18,0.42269600000000002,,1983.73,,2458983.73,,0.324488,,1.7993699999999999,,56.6158,,0.99010500000000001,,2.0199699999999998,,1.0099800000000001,,44992.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.6584373,-0.31193900000000002,0.67702620000000002,-0.33158700000000002,54,mandel-agol_geometric_transit_model,true,32.66442,10668.559999999999,14230.709999999999,12.8377,66.442629999999994,24.05068,1509,1135.8599999999999,53.201700000000002,,1.1065500000000001E-2,,2915.3099999999999,,17071.099999999999,,1,00000000000000000000000001,5671.0900000000001,137.524,4.0891400000000004,8.4376199999999998E-2,0.215,1.2999999999999999E-2,1.5018400000000001,0.0860654,0.29820580000000002,6.0404220000000002E-2,TIC8,TIC8,TIC8,TIC8,TIC8-Deriv,0.42261749505996699,-1.0,1983.7376479278,-1.0,2458983.7376479278,-1.0,1.6486569972260201,-1.0,0.69472595697912198,-1.0,38250.840180295898,-1.0,true,24510,7821,9.3924760000000003,10399.209999999999,0.558569,3.6033879999999998,9.5048600000000008,-8.0553159999999995,0.21387,0.174977,13.336130000000001,9.4464000000000006,0.35335800000000001,0.0,0.0,0.24749389999999999,0.1457859,3179.194,462.17489999999998,-5.1617220000000001,0.55228319999999997,2.9298866578614899E-31,5.4842449999999996,-0.87957470000000004,0.89249109999999998,61,19.425519999999999,9.2656480000000006,0.490226,2.500016,-0.12863160000000001,2.5000270000000002,0.50682110000000002,2.5000170000000002,0.48507460000000002,2.5000149999999999,-0.40647299999999997,2.5000260000000001,0.63286469999999995,2.5000200000000001
