#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2020353052510
#Sectors = s0033-s0033
#Created Date = 2021-02-10
#
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00100204397-01,100204397,1,s0033,2021-02-10,0.588603,0.00251924,2202.09,0.00179529,2.4592e+006,0.00179529,0.116547,0.00885216,1.18695,25.1096,33.4716,72.7533,0.990105,56.5442,4.08382,0.2219,2.04191,0.223728,5586.67,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.651306,-0.385827,0.822823,-0.390733,42,mandel-agol_geometric_transit_,true,15.3995,10460.9,12637.6,13.2655,52.6561,36.8394,2314,2111.81,13.2588,0.676604,0.0134865,0.00222894,2101.13,18.1569,4606.07,1.34507,1,000000000000000000000000000000,5417,134.408,4.37678,0.0851277,0,0,1.04208,0.0577387,0.833449,0.169769,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.588665,-1,2202.09,-1,2.4592e+006,-1,3.28231,-1,1.63954,-1,5129.07,-1,true,18463,8778,2.88957,1363.14,-0.573031,1.42642,2.99626,-3.21046,0.15414,0.360865,4.21431,9.56138,15.3064,0,0,0.775894,1.52437,3048.9,1495.84,-0.147016,0.632505,0.000492988,19.1349,1.39037,2.5017,44,4.81464,14.4222,-27.4275,2.50176,-35.5064,2.50346,44.8662,2.50282,-0.30219,2.50146,24.934,2.50346,24.9358,2.50346
00100205373-01,100205373,1,s0033,2021-02-10,3.32129,0.00251924,2204.09,0.00179529,2.4592e+006,0.00179529,0.236165,0.00885216,2.57738,25.1096,67.4089,72.7533,0.990105,56.5442,8.02483,0.2219,4.01241,0.223728,24995.1,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.488399,0.277198,-0.299752,0.0886501,7,mandel-agol_geometric_transit_,true,200.182,6778.55,7734.46,131.147,1515.98,874.634,1079,4233.16,41.1227,0.676604,0.0549194,0.00222894,1943.77,18.1569,3373.67,1.34507,1,000000000000000000000000000000,8174,148.075,4.33357,0.0756511,0,0,1.59501,0.058701,0.492954,0.0877648,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,3.31944,-1,2204.1,-1,2.4592e+006,-1,7.98666,-1,3.47034,-1,26158.4,-1,true,18083,8377,1.59177,863.462,-0.0907149,0.616203,4.18035,-3.24834,0.65831,2.46525,74.6648,155.302,3.54118,0,0,0.847242,0.596244,2883.29,502.73,-0.2562,1.85217,0,6.86182,-0.17902,0.991241,8,36.9288,196.224,-23.3232,2.5003,-25.2276,2.50012,34.357,2.5002,-28.0252,2.50008,-23.3016,2.50012,36.4469,2.5001
00100481123-01,100481123,1,s0033,2021-02-10,15.1453,0.00251924,2204.1,0.00179529,2.4592e+006,0.00179529,0.119847,0.00885216,26.8439,25.1096,89.9767,72.7533,0.0109264,56.5442,4.82788,0.2219,0.51695,0.223728,17026,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.677522,0.12082,-0.021643,-0.0177111,2,mandel-agol_geometric_transit_,true,11.9055,1257.04,1348.04,8.33954,6.48131,0.16451,269,280.735,8.32486,0.676604,0.10203,0.00222894,420.164,18.1569,7.36537,1.34507,2,000000000000000000000000000000,3813,157,4.62087,0.0115376,0,0,0.636279,0.0189139,2.39454,0.0954636,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,15.1403,-1,2204.1,-1,2.4592e+006,-1,4.43024,-1,0.307243,-1,10229.8,-1,true,21033,2153,6.22919,11481.6,0.0397137,0.602048,11.1573,-10.3439,7.04859,7.23192,14.6141,17.8615,0.13175,36.5761,0,948.813,194.73,3605.41,235.977,4.86733,13.4611,4.8192e-015,9.3259,-6.63593,3.16344,2,6.24913,1.87124,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
00100481123-02,100481123,2,s0033,2021-02-10,12.807,0.00251924,2211.09,0.00179529,2.45921e+006,0.00179529,0.108321,0.00885216,13.6962,25.1096,89.9004,72.7533,0.0238076,56.5442,7.92409,0.2219,0.776086,0.223728,13911.4,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.677522,0.12082,-0.021643,-0.0177111,2,mandel-agol_geometric_transit_,true,7.48714,1911.77,2210.27,7.19048,7.98202,13.0962,449,554.231,7.52421,0.676604,0.091238,0.00222894,444.319,18.1569,9.21084,1.34507,2,000000000000000000000000000000,3813,157,4.62087,0.0115376,0,0,0.636279,0.0189139,2.39454,0.0954636,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,12.8111,-1,2211.14,-1,2.45921e+006,-1,11.7831,-1,4.71041,-1,32661.4,-1,true,40454,3570,0.28745,761.173,-0.0998035,0.555232,2.44881,-2.76462,4.53053,4.60414,14.0941,15.0685,1.6065,0,36.5761,61.5727,149.579,1924.34,1171.32,0.404955,1.2634,4.26435e-013,9.54773,-5.02632,2.80953,2,5.761,0.221146,1.14522,2.50222,-2.05912,2.50315,2.35616,2.50293,0.316652,2.50222,0.0368923,2.50315,0.318794,2.50223
00100608026-01,100608026,1,s0033,2021-02-10,8.25953,0.00251924,2202.57,0.00179529,2.4592e+006,0.00179529,0.0363749,0.00885216,23.9274,25.1096,89.1835,72.7533,0.340954,56.5442,2.58183,0.2219,0.102136,0.223728,1548.75,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.648945,0.0699121,0.0698999,-0.0283127,4,mandel-agol_geometric_transit_,true,13.2146,1168.84,1488.21,11.9214,14.7615,13.2889,299,248.875,2.45966,0.676604,0.0682254,0.00222894,531.288,18.1569,18.8296,1.34507,1,000000000000000000000000000000,3996,125.772,4.64652,0.122369,0,0,0.6194,0.0644472,2.60945,0.78378,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,8.26111,-1,2202.57,-1,2.4592e+006,-1,2.59578,-1,0.168096,-1,1308.6,-1,true,18309,2257,1.59591,266.374,-0.0634918,0.607513,1.99974,-3.08819,2.10692,3.59859,7.19054,10.7921,1.54254,0,0,112.748,124.787,2676.69,733.256,0.895513,2.92318,7.38989e-034,6.21848,0.440836,0.85743,4,7.49926,-0.627641,-2.38768,2.67435,0.649233,2.89852,2.47437,2.69039,-3.59501,2.67435,1.83964,2.89852,4.03836,2.72239
00010063442-01,10063442,1,s0033,2021-02-10,0.574301,0.00251924,2202.2,0.00179529,2.4592e+006,0.00179529,0.0335375,0.00885216,2.98465,25.1096,80.1888,72.7533,0.50859,56.5442,1.36409,0.2219,0.0607869,0.223728,1211.8,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.433015,0.64196,-0.811719,0.307247,43,mandel-agol_geometric_transit_,true,11.2074,7159.57,8880.81,9.99694,46.2468,20.8848,1708,1595.49,5.53227,0.676604,0.01621,0.00222894,3186.67,18.1569,24370.9,1.34507,1,000000000000000000000000000000,7480,131.486,4.31506,0.0838301,0,0,1.51102,0.0630302,0.498643,0.0984729,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.574174,-1,2202.2,-1,2.4592e+006,-1,2.98261,-1,1.42222,-1,1460.59,-1,true,18458,8719,3.62027,327.1,0.316894,1.16995,2.66191,-6.52588,0.40054,0.172763,3.59893,10.1191,1.25523,0,0,1.54494,0.881725,5492.96,768.618,0.618042,2.96529,1.32474e-029,6.30389,-0.244008,0.922134,45,3.15987,4.59006,21.6948,2.51549,22.6224,2.51793,31.3438,2.51676,17.3195,2.51548,26.9447,2.51793,32.031,2.51721
00100757807-01,100757807,1,s0033,2021-02-10,11.7328,0.00251924,2206.97,0.00179529,2.45921e+006,0.00179529,0.0731473,0.00885216,22.1161,25.1096,89.9741,72.7533,0.00999983,56.5442,4.35076,0.2219,0.296769,0.223728,6212.76,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.565241,0.0337802,0.203431,-0.144535,2,mandel-agol_geometric_transit_,true,21.4969,1334.82,1236.01,20.5315,36.4542,291.472,260,633.017,9.91141,0.676604,0.104998,0.00222894,914.198,18.1569,165.075,1.34507,1,000000000000000000000000000000,6025.9,128.561,4.29961,0.0824731,0.17,0.12,1.24118,0.0617236,0.585835,0.115002,TIC8.1,TIC8.1,TIC8.1,TIC8.1,TIC8.1-Der,11.725,-1,2206.98,-1,2.45921e+006,-1,3.92637,-1,0.102694,-1,1406.84,-1,true,18806,2156,2.2918,948.562,0.0461907,0.570855,2.28262,-2.18554,3.6722,-0.912523,32.5055,24.8113,461.053,0,0,58.5645,23.8751,3910.11,386.53,2.41106,7.71794,7.53074e-120,5.62007,-0.153287,1.07386,2,7.46343,1.27136,-0.59276,2.52124,-1.33489,2.54078,1.46058,2.53757,-0.388539,2.52124,-0.86295,2.54078,0.946385,2.53749
00100776118-01,100776118,1,s0033,2021-02-10,9.68335,0.00251924,2209.99,0.00179529,2.45921e+006,0.00179529,0.0866567,0.00885216,2.31355,25.1096,67.3317,72.7533,0.891631,56.5442,21.8394,0.2219,7.48489,0.223728,6736.48,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.440749,0.451626,-0.379335,0.099076,2,mandel-agol_geometric_transit_,true,22.9995,6246.34,7121.13,38.1321,138.218,1506.4,899,2461.93,11.8094,0.676604,0.0970906,0.00222894,1018.79,18.1569,254.597,1.34507,1,000000000000000000000000000000,6439,134.276,4.35937,0.0906629,0,0,1.24831,0.0560804,0.668417,0.142733,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,9.675,-1,2209.96,-1,2.45921e+006,-1,18.1442,-1,5.9688,-1,5977.9,-1,true,20874,8136,1.77626,404.536,0.212865,0.702367,2.28216,-2.66128,5.39025,5.8597,41.6821,30.6903,1592.43,0,0,15.043,8.64257,3102.11,436.483,1.62486,4.751,0,5.3242,1.60313,0.769728,2,11.6605,6.32613,-1.83467,2.50714,2.99165,2.51162,3.50941,2.5104,-1.78044,2.50713,2.49042,2.51162,3.0614,2.5101
00010171418-01,10171418,1,s0033,2021-02-10,0.920265,0.00251924,2202.15,0.00179529,2.4592e+006,0.00179529,0.126689,0.00885216,1.40594,25.1096,45.2479,72.7533,0.989838,56.5442,4.00226,0.2219,2.00113,0.223728,7324.74,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.60262,-0.158843,0.191286,-0.0906343,26,mandel-agol_geometric_transit_,true,97.3362,11622.4,13867.2,76.5658,578.148,82.93,1799,1860.97,22.9006,0.676604,0.0239073,0.00222894,3160.32,18.1569,23574.5,1.34507,1,000000000000000000000000000000,8606,135.637,4.33229,0.0734059,0,0,1.65579,0.061598,0.473462,0.0819415,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.920212,-1,2202.15,-1,2.4592e+006,-1,3.84703,-1,1.53662,-1,7267.99,-1,true,17829,8593,-0.183221,-13.9061,-1.0441,1.23116,1.80709,-4.62411,0.2347,0.473588,13.6191,54.6631,1.13688,0,0,0,-1,0,-1,0,0,0,8.96352,-0.36027,1.31327,28,50.7072,36.8328,5.88132,2.50084,-21.3382,2.50098,22.1339,2.50097,6.1075,2.50083,-23.5654,2.50097,24.344,2.50097
00106344480-01,106344480,1,s0033,2021-02-10,9.36165,0.00251924,2210.28,0.00179529,2.45921e+006,0.00179529,0.0540628,0.00885216,35.5833,25.1096,89.7848,72.7533,0.133637,56.5442,2.10175,0.2219,0.109689,0.223728,3438.43,517.199,0,0,0,0,claret_tess_nonlinear_limb_dar,0.684613,0.187287,-0.121575,0.0119824,2,mandel-agol_geometric_transit_,true,9.67865,680.452,607.655,7.36518,8.45865,14.0041,118,227.374,3.25957,0.676604,0.0711469,0.00222894,445.166,18.1569,9.2813,1.34507,1,000000000000000000000000000000,3621,157,4.69198,0.00962692,0,0,0.55228,0.0163327,3.24953,0.120098,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,9.35277,-1,2210.24,-1,2.45921e+006,-1,0.609561,-1,0.0114609,-1,206.995,-1,true,21140,949,1.70152,761.738,0.0154555,0.761525,4.48786,-3.68446,3.32359,1.63331,18.7276,17.8,1.0009,0,0,199.652,125.085,2587.2,420.171,1.58814,5.09253,9.73023e-050,7.62117,1.61233,1.09518,2,5.30973,4.48034,-24.0666,3.21702,17.5267,3.61097,29.7722,3.35878,-23.3432,3.21659,14.9198,3.61097,27.7039,3.33577
